Country Name,Country Code,Indicator Name,Indicator Code,Year,Value
Nigeria,NGA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2002,48.02
Nigeria,NGA,Population growth (annual %),SP.POP.GROW,2002,2.74147056608815
Nigeria,NGA,"Population, total",SP.POP.TOTL,2002,133471989.0
Nigeria,NGA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003,52.2
Nigeria,NGA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,2003,0.7843536892772999
Nigeria,NGA,Forest area (% of land area),AG.LND.FRST.ZS,2003,26.793945782140387
Nigeria,NGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2003,7.347194967932992
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,2003,763.3887453672226
Nigeria,NGA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2003,48.618
Nigeria,NGA,Population growth (annual %),SP.POP.GROW,2003,2.75673506428828
Nigeria,NGA,"Population, total",SP.POP.TOTL,2003,137202644.0
Nigeria,NGA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004,46.1
Nigeria,NGA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,2004,0.7369210095107267
Nigeria,NGA,Forest area (% of land area),AG.LND.FRST.ZS,2004,26.61464035925645
